Company,Type_Name,Operating_System,Weight,Memory_Size_GB,Memory_Type,CPU_Name,GPU_Brand,is_Touchscreen,has_IPS,Screen_Types,PPI
Lenovo,Notebook,No OS,1.7,256,SSD,Intel Core i3,Intel,0,1,Full HD,157.35
Asus,Notebook,Windows,1.4,256,SSD,Intel Core i5,Intel,0,0,Full HD,157.35
HP,Notebook,Windows,1.86,256,SSD,Intel Core i5,Intel,0,0,Full HD,141.21
Asus,Ultrabook,Windows,1.8,512,SSD,Intel Core i7,Nvidia,0,0,Full HD,141.21
HP,Notebook,Windows,1.86,500,HDD,Intel Core i3,AMD,0,0,Other,100.45
HP,Notebook,Windows,1.44,32,SSD,Other Intel Processor,Intel,0,0,Other,111.94
Lenovo,Notebook,Windows,1.9,1000,HDD,Intel Core i5,Intel,0,0,Full HD,141.21
Asus,Gaming,Linux,3.0,1000,HDD,Intel Core i7,Nvidia,0,0,Full HD,127.34
Microsoft,Ultrabook,Windows,1.252,128,SSD,Intel Core i5,Intel,1,0,Other,200.84
Dell,Ultrabook,Windows,1.4,256,SSD,Intel Core i7,AMD,0,1,Full HD,165.63
Dell,Notebook,Windows,2.2,256,SSD,Intel Core i7,AMD,0,0,Full HD,141.21
MSI,Gaming,Windows,2.7,1128,Hybrid,Intel Core i5,Nvidia,0,0,Full HD,127.34
Acer,Notebook,Windows,2.1,1000,HDD,Intel Core i3,Intel,0,0,Other,111.94
Asus,Gaming,Windows,2.2,1000,HDD,Intel Core i7,Nvidia,0,0,Full HD,141.21
Lenovo,Notebook,No OS,2.2,2000,HDD,Intel Core i5,Intel,0,0,Full HD,141.21
Dell,Notebook,Windows,2.02,1128,Hybrid,Intel Core i7,Intel,0,0,Full HD,141.21
Acer,Notebook,Windows,2.2,1000,HDD,Intel Core i3,Nvidia,0,0,Full HD,141.21
HP,Notebook,Windows,2.5,1128,Hybrid,Intel Core i5,Nvidia,0,0,Full HD,127.34
Dell,Ultrabook,Windows,1.88,256,SSD,Intel Core i5,Intel,0,1,Full HD,141.21
Apple,Ultrabook,Mac OS,0.92,512,SSD,Intel Core i5,Intel,0,1,Retina,226.42
HP,Notebook,Windows,1.63,256,SSD,Intel Core i5,Intel,0,0,Full HD,157.35
Lenovo,Notebook,Windows,2.2,128,SSD,AMD Processor,AMD,0,0,Full HD,141.21
Acer,Notebook,Windows,2.1,1000,HDD,AMD Processor,AMD,0,0,Other,100.45
Dell,Gaming,Windows,2.65,1128,Hybrid,Intel Core i7,Nvidia,0,1,Full HD,141.21
HP,Ultrabook,Windows,1.83,256,SSD,Intel Core i7,Nvidia,0,1,Full HD,141.21
HP,Notebook,Windows,1.96,256,SSD,Intel Core i5,Intel,0,0,Full HD,141.21
Asus,Gaming,Windows,2.2,1128,Hybrid,Intel Core i7,Nvidia,0,1,Full HD,141.21
Dell,Ultrabook,Windows,1.21,256,SSD,Intel Core i7,Intel,0,1,Full HD,165.63
Asus,Gaming,Windows,2.45,1000,HDD,AMD Processor,AMD,0,0,Full HD,141.21
Acer,Notebook,Windows,2.2,1000,HDD,Intel Core i7,Nvidia,0,0,Full HD,141.21
HP,Notebook,Windows,1.49,512,SSD,Intel Core i7,Intel,0,0,Full HD,165.63
Dell,Gaming,Windows,2.65,256,SSD,Intel Core i5,Nvidia,0,0,Full HD,141.21
Asus,Ultrabook,Windows,1.25,256,SSD,Intel Core i7,Intel,0,0,Full HD,157.35
Acer,2 in 1 Convertible,Windows,1.5,256,SSD,Intel Core i5,Intel,1,1,Full HD,165.63
Dell,Notebook,Linux,2.2,1000,HDD,Intel Core i7,AMD,0,0,Full HD,141.21
Dell,Notebook,Linux,2.2,256,SSD,Intel Core i3,AMD,0,0,Full HD,141.21
Asus,Notebook,Windows,2.0,256,SSD,Intel Core i3,Nvidia,0,0,Full HD,141.21
HP,Gaming,Windows,2.62,1128,Hybrid,Intel Core i7,Nvidia,0,1,Full HD,141.21
HP,Notebook,Windows,1.91,256,SSD,Intel Core i7,AMD,0,0,Full HD,141.21
HP,Notebook,Windows,2.1,500,HDD,AMD Processor,AMD,0,0,Full HD,141.21
Dell,Notebook,Linux,2.2,1000,HDD,Intel Core i5,AMD,0,0,Full HD,141.21
HP,Ultrabook,Windows,1.38,256,SSD,Intel Core i7,Nvidia,0,1,Full HD,165.63
Microsoft,Ultrabook,Windows,1.252,256,SSD,Intel Core i5,Intel,1,0,Other,200.84
HP,Notebook,Windows,1.58,256,SSD,Intel Core i5,Nvidia,0,1,Full HD,157.35
Lenovo,Notebook,Windows,1.85,1000,HDD,Intel Core i3,Intel,0,0,Full HD,141.21
Asus,Ultrabook,Windows,1.3,256,SSD,Intel Core i7,Nvidia,0,1,Full HD,157.35
MSI,Gaming,Windows,2.2,1256,Hybrid,Intel Core i7,Nvidia,0,0,Full HD,141.21
Lenovo,Notebook,Windows,1.58,256,SSD,Intel Core i7,Intel,0,1,Full HD,157.35
Asus,Ultrabook,Windows,1.5,1256,Hybrid,Intel Core i7,Nvidia,0,0,Full HD,141.21
Dell,Ultrabook,Windows,1.23,256,SSD,Intel Core i7,Intel,1,0,Quad HD,276.05
Lenovo,2 in 1 Convertible,Windows,1.37,256,SSD,Intel Core i5,Intel,1,1,Full HD,165.63
HP,Notebook,Windows,1.63,500,HDD,Intel Core i5,Intel,0,1,Other,111.94
Dell,Ultrabook,Windows,1.21,256,SSD,Intel Core i5,Intel,0,1,Full HD,165.63
HP,2 in 1 Convertible,Windows,1.26,256,SSD,Intel Core i5,Intel,1,1,Full HD,165.63
HP,Notebook,Windows,1.63,512,SSD,Intel Core i7,Intel,0,0,Full HD,157.35
Dell,Notebook,Windows,2.16,1256,Hybrid,Intel Core i7,Nvidia,0,1,Full HD,141.21
Asus,Notebook,Windows,2.0,1000,HDD,Intel Core i3,Nvidia,0,0,Full HD,127.34
Asus,Notebook,Windows,1.7,256,SSD,Intel Core i7,Nvidia,0,0,Full HD,141.21
Acer,Notebook,Windows,2.1,1000,HDD,Intel Core i3,Intel,1,1,Full HD,141.21
MSI,Gaming,Windows,1.8,2256,Hybrid,Intel Core i7,Nvidia,0,0,Full HD,141.21
Lenovo,Notebook,No OS,2.2,256,SSD,Intel Core i5,Nvidia,0,0,Full HD,141.21
HP,Notebook,Windows,2.5,512,SSD,Intel Core i7,Nvidia,0,0,Full HD,127.34
Acer,Notebook,Windows,2.1,256,SSD,AMD Processor,AMD,0,0,Other,100.45
HP,Notebook,No OS,1.86,500,HDD,Other Intel Processor,Intel,0,0,Other,100.45
HP,Notebook,Windows,1.63,1000,HDD,Intel Core i5,Intel,0,0,Full HD,157.35
Asus,Notebook,Windows,1.65,64,SSD,AMD Processor,AMD,0,0,Other,111.94
Dell,Notebook,Windows,2.8,2256,Hybrid,Intel Core i7,AMD,0,0,Full HD,127.34
HP,Notebook,Windows,2.5,256,SSD,Intel Core i5,Intel,0,0,Full HD,127.34
Dell,Notebook,Windows,2.36,1000,HDD,Intel Core i5,AMD,0,0,Other,100.45
Dell,Notebook,Windows,2.2,1000,HDD,Intel Core i3,AMD,0,0,Full HD,141.21
Acer,Ultrabook,Windows,1.6,256,SSD,Intel Core i7,Intel,0,1,Full HD,157.35
Acer,Notebook,Windows,2.2,256,SSD,Intel Core i3,Nvidia,0,0,Full HD,141.21
HP,Notebook,Windows,2.05,1000,HDD,Intel Core i7,Intel,0,0,Other,100.45
HP,Notebook,Windows,1.63,256,SSD,Intel Core i7,Intel,0,0,Full HD,157.35
Lenovo,Notebook,No OS,1.9,1000,HDD,Other Intel Processor,Intel,0,0,Other,100.45
Asus,Gaming,Windows,3.0,1128,Hybrid,Intel Core i5,Nvidia,0,0,Full HD,127.34
Lenovo,Notebook,No OS,2.2,1000,HDD,Intel Core i5,Nvidia,0,0,Full HD,141.21
HP,Notebook,Windows,1.32,256,SSD,Intel Core i5,Intel,0,1,Full HD,165.63
Acer,Notebook,Windows,3.0,1000,HDD,Intel Core i3,Nvidia,0,1,Full HD,127.34
Lenovo,Notebook,Windows,1.75,256,SSD,Intel Core i5,AMD,0,1,Full HD,157.35
Lenovo,Gaming,No OS,2.4,256,SSD,Intel Core i7,Nvidia,0,1,Full HD,141.21
Toshiba,Notebook,Windows,2.1,500,HDD,Intel Core i5,Intel,0,0,Other,100.45
HP,Notebook,Windows,1.86,256,SSD,AMD Processor,AMD,0,0,Other,100.45
Asus,Ultrabook,Windows,1.25,256,SSD,Intel Core i7,Intel,0,0,Full HD,157.35
HP,Ultrabook,Windows,0.97,512,SSD,Other Intel Processor,Intel,1,1,4K Ultra HD,352.47
Asus,Notebook,Windows,2.0,1000,HDD,Other Intel Processor,Intel,0,0,Full HD,141.21
MSI,Gaming,Windows,2.9,1256,Hybrid,Intel Core i7,Nvidia,0,0,Full HD,127.34
Acer,Notebook,Windows,2.1,1000,HDD,Intel Core i3,Intel,0,0,Other,100.45
Dell,Gaming,Windows,2.56,512,SSD,Intel Core i7,Nvidia,0,0,Full HD,141.21
Dell,Gaming,Windows,2.62,1000,Hybrid,Intel Core i7,Nvidia,0,0,Full HD,141.21
Lenovo,Notebook,Windows,1.9,128,SSD,Intel Core i5,Intel,0,0,Other,100.45
MSI,Gaming,Windows,2.8,1256,Hybrid,Intel Core i7,Nvidia,0,0,Full HD,127.34
HP,Ultrabook,Windows,1.48,256,SSD,Intel Core i5,Intel,0,0,Full HD,157.35
HP,Notebook,Windows,1.91,256,SSD,Intel Core i5,AMD,0,0,Full HD,141.21
Lenovo,2 in 1 Convertible,Windows,1.74,256,SSD,Intel Core i3,Intel,1,1,Full HD,157.35
Asus,2 in 1 Convertible,Windows,1.1,256,SSD,Intel Core i5,Intel,1,0,Full HD,165.63
Dell,2 in 1 Convertible,Windows,1.56,256,SSD,Intel Core i7,Intel,1,0,Full HD,141.21
Toshiba,Notebook,Windows,2.1,500,HDD,Intel Core i3,Intel,0,0,Other,100.45
Asus,Notebook,Windows,2.03,1000,HDD,AMD Processor,AMD,0,0,Other,100.45
Acer,Notebook,Windows,3.0,256,SSD,Intel Core i5,Nvidia,0,1,Full HD,127.34
Dell,Notebook,Windows,2.13,256,SSD,Intel Core i5,AMD,0,0,Full HD,141.21
Lenovo,Gaming,Windows,2.5,256,SSD,Intel Core i7,Nvidia,0,1,Full HD,141.21
Acer,Notebook,Windows,2.1,1000,HDD,Other Intel Processor,Intel,0,0,Other,100.45
MSI,Gaming,Windows,2.4,1256,Hybrid,Intel Core i7,Nvidia,0,1,Full HD,141.21
Acer,Notebook,Windows,2.1,1000,HDD,Other Intel Processor,Intel,0,0,Other,100.45
Dell,Gaming,Windows,2.56,1128,Hybrid,Intel Core i7,Nvidia,0,0,Full HD,141.21
Acer,Notebook,Windows,3.0,256,SSD,Intel Core i5,Nvidia,0,1,Full HD,127.34
HP,Notebook,Windows,1.49,500,HDD,Intel Core i5,Intel,0,1,Full HD,165.63
Huawei,Ultrabook,Windows,1.05,256,SSD,Intel Core i5,Intel,0,1,Full HD,199.69
HP,Notebook,Windows,2.71,2000,HDD,Intel Core i5,AMD,0,1,Full HD,127.34
Lenovo,Notebook,No OS,2.2,500,HDD,AMD Processor,AMD,0,0,Other,100.45
Toshiba,Notebook,Windows,2.0,500,HDD,Intel Core i3,Intel,0,0,Other,100.45
HP,Notebook,Windows,2.5,256,SSD,Intel Core i5,Nvidia,0,0,Full HD,127.34
Dell,Notebook,Windows,2.3,1000,HDD,Intel Core i3,Intel,0,0,Other,100.45
Acer,Notebook,Windows,2.1,128,SSD,Intel Core i3,Intel,0,0,Other,100.45
MSI,Gaming,Windows,4.4,1512,Hybrid,Intel Core i7,Nvidia,0,0,Full HD,119.72
Lenovo,Notebook,Windows,1.9,1128,Hybrid,Intel Core i5,AMD,0,0,Full HD,141.21
HP,2 in 1 Convertible,Windows,1.29,256,SSD,Intel Core i5,Intel,1,1,4K Ultra HD,331.26
